"WeekEndingDate","Country","HBT","TreatmentLocation","DepartmentType","AttendanceCategory","NumberOfAttendancesEpisode","NumberWithin4HoursEpisode","NumberOver4HoursEpisode","PercentageWithin4HoursEpisode","NumberOver8HoursEpisode","PercentageOver8HoursEpisode","NumberOver12HoursEpisode","PercentageOver12HoursEpisode"
"20150222","S92000003","S08000015","A210H","Type 1","Unplanned",814,624,190,76.7,21,2.6,2,0.2
"20150222","S92000003","S08000015","A210H","Type 1","All",814,624,190,76.7,21,2.6,2,0.2
"20150222","S92000003","S08000015","A111H","Type 1","Unplanned",1347,1115,232,82.8,31,2.3,2,0.1
"20150222","S92000003","S08000015","A111H","Type 1","All",1347,1115,232,82.8,31,2.3,2,0.1
"20150222","S92000003","S08000016","B120H","Type 1","Unplanned",517,463,54,89.6,1,0.2,0,0
"20150222","S92000003","S08000016","B120H","Type 1","All",517,463,54,89.6,1,0.2,0,0
"20150222","S92000003","S08000017","Y146H","Type 1","Unplanned",604,578,26,95.7,0,0,0,0
"20150222","S92000003","S08000017","Y146H","Type 1","All",604,578,26,95.7,0,0,0,0
"20150222","S92000003","S08000017","Y144H","Type 1","Unplanned",196,185,11,94.4,1,0.5,0,0
"20150222","S92000003","S08000017","Y144H","Type 1","All",196,185,11,94.4,1,0.5,0,0
"20150222","S92000003","S08000029","F704H","Type 1","Unplanned",1284,1135,149,88.4,22,1.7,7,0.5
"20150222","S92000003","S08000029","F704H","Type 1","All",1284,1135,149,88.4,22,1.7,7,0.5
"20150222","S92000003","S08000019","V217H","Type 1","Unplanned",1095,1053,42,96.2,0,0,0,0
"20150222","S92000003","S08000019","V217H","Type 1","All",1095,1053,42,96.2,0,0,0,0
"20150222","S92000003","S08000020","N101H","Type 1","Unplanned",1116,952,164,85.3,36,3.2,3,0.3
"20150222","S92000003","S08000020","N101H","Type 1","All",1116,952,164,85.3,36,3.2,3,0.3
"20150222","S92000003","S08000020","N411H","Type 1","Unplanned",434,409,25,94.2,2,0.5,1,0.2
"20150222","S92000003","S08000020","N411H","Type 1","All",434,409,25,94.2,2,0.5,1,0.2
